,Unnamed: 0.1,Unnamed: 0,artist,name,emotion,index,cleaned_lyrics
10,10,10,Deitrick Haddon,Love Him Like I Do ,happy,10,"Love Him like I do (Oh), love Him like I do That's why I love Him like I do (Once again), love Him like I do (Baby Dubb) Love Him, l-l-l-l (My Block), love Him, l-l-l-l (Deitrick) Love Him, l-l-l-l (Big Ru), love Him, l-l-l-l (Mary Mary)  Givin' honor to you first The pastor of the church (Yeah) My folks and friends listen to these words See God saved me (Yeah) From myself when no one else was around And it was only by His grace (Grace) His mercy, His favor 'Cause I know I don't deserve All the love He show (Oh) And how He let me know (Oh) He never gonna leave my side  That's why I love Him like I do, I I love Him like I do, I That's why I love Him like I do, I, I, I That's why I love Him like I do, I I love Him like I do, I That's why I love Him like I do, I, I, I (Deitrick)  See I got a testimony how He saved my soul (Soul) When I was just a sinner left in the cold (Cold) Gave me a second chance, saved me from myself Came to my rescue when I needed help You want to know why I love Him like I do (Like I do) 'Cause when my enemies said I was through He took me from the bottom and put me on the top He laid His hands on me and now I can't be stopped  That's why I love Him like I do, I I love Him like I do (That's why I love Him like I do), I That's why I love Him like I do (My, my-my-my, my), I, I (That's why I love Him like I do, I love Him like I do), I That's why I love Him like I do (I do), I I love Him like I do (I do), I That's why I love Him like I do (Do), I, I (That's why I love Him like I do, I love Him like I do), I  Somebody told me that we overcome by our testimony Bet you wouldn't believe how doubt and fear used to paralyze me But God's hand led me through a test And He brought out the very best of me And now I'll never forget to tell the world what You mean to me  That's why I love Him like I do, I (Yeah, yeah, yeah) I love Him like I do, I (Let me tell you why I love Him) That's why I love Him like I do, I (I said let me tell you why I love Him), I, I ('Cause He's been so good to me, yeah) That's why I love Him like I do, I (He takes care of me, yeah) I love Him like I do, I (He keeps lovin' me, yeah) That's why I love Him like I do, I (Yeah), I (I love Him, aight), I (Our love is right)  Love Him like I do, love Him like I do (Hey) That's why I love Him like I do (I love Him like I), love Him like I do (Hey) That's why I love Him like I do (I love Him like I), love Him, l-l-l-l (Hey) Love Him, l-l-l-l (Hey), love Him, l-l-l-l (Woo) That's why I love Him like I do (I love Him like I), love Him like I do (Oh) That's why I love Him like I do (I love Him like I), love Him like I do Love Him, l-l-l-l (Yeah), love Him, l-l-l-l (Mama) Love Him, l-l-l-l, love Him, l-l-l-l (Woo)"
11,11,11,The Jackson 5,ABC,relaxed,11,"A buh-buh buh buh A buh-buh buh buh  You went to school to learn, girl Things you never, never knew before Like ""I before E, except after C"" And why two plus two makes four Now, now, now, I'm gonna teach you (Teach you, teach you) All about love, yeah (All about love) Sit yourself down, take a seat All you gotta do is repeat after me  A, B, C Easy as 1, 2, 3 Or simple as Do-Re-Mi A, B, C, 1, 2, 3, baby, you and me, girl A, B, C Easy as 1, 2, 3 Or simple as Do-Re-Mi A, B, C, 1, 2, 3, baby, you and me, girl  Come on, let me love you just a little bit Come on, let me love you just a little bit I'm-a gonna teach how to sing it out Come on, come on, come on Let me show you what it's all about  Reading, writing, 'rithmetic Are the branches of the learning tree But without the roots of love every day, girl Your education ain't complete T-t-t-teachers gonna show you (Show you, show you) How to get an ""A"" (Nyah nyah nyah nyah) Spell me, you (You add the two) Listen to me, baby, that's all you gotta do  Oh, A, B, C It's easy as 1, 2, 3 Or simple as Do-Re-Mi A, B, C, 1, 2, 3, baby, you and me, girl  A, B, C, it's easy, it's like counting up to three Sing a simple melody That's how easy love can be Now, that's how easy love can be Sing a simple melody 1, 2, 3, you and me (Yeah)  Sit down, girl! I think I love you! No! Get up, girl! Show me what you can do! Shake it, shake it, baby, come on now! Shake it, shake it, baby, ooh-ooh Shake it, shake it, baby, huh! 1, 2, 3, baby, ooh-ooh A, B, C, baby, nah nah Do-Re-Mi, baby, ow! That's how easy love can be  A, B, C, it's easy, it's like counting up to three Sing a simple melody That's how easy love can be  I'm-a gonna teach you how to sing it out Come on, come on, come on Let me show you what it's all about A, B, C, it's easy, it's like counting up to three Sing a simple melody That's how easy love can be I'm-a gonna teach you how to sing it out, sing it out, sing it out (Oh! Oh! Oh, baby) A, B, C, it's easy, it's like counting up to three Sing a simple melody That's how easy..."
12,12,12,Maysa,The Lady In My Life,happy,12,"There will be no darkness tonight Baby our love will shine Just put your trust in my heart And meet me in paradise Boy you're every wonder in this world to me A treasure time will steal away So listen to my heart Lay your body close to mine Let me feel you in my dreams I can make you feel alright And baby through the years Gonna love you more each day So I promise you tonight I will always be the lady in your life Lay back on my tenderness Let's make this a night we won't forget Oh I need your sweet caress Reach out to our fantasy Two hearts in the beat of ecstasy Come to me boy And I will keep you warm Through the shadows of the night Let me touch you with my love I will make you feel so right And baby through the years Even when we're old and gray I will love you more each day 'Cause I will always be the lady Always be the lady in your life Always the lady in your life Stay with me Always the lady in your life I want you to stay with me Always the lady in your life I need you by my side Always the lady in your life Oh yeah baby Always the lady in your life 'Cause I love you, yes I do Always the lady in your life And I need you baby Always the lady in your life More than you'll ever know Always the lady in your life I love you baby Always the lady in your life And I've gotta let it show Always the lady in your life And I... I love you baby Always the lady in your life I need you baby Always the lady in your life Don't you see I love you boy Don't you see I love you baby Always the lady in your life Always the lady in your life Always the lady in your life"
13,13,13,Ryan Shaw,We Got Love,happy,13,"Baby, when I'm wrapped up in your arms It never rains And I'm prayin' for more, more and more Each and every day, oh, baby We're flyin' high and no one can deny They can't tell by the look in your eyes That we got love, you got me If I got you, baby, we got more than money You are everything a man's been dreamin' of Oh, we got love, baby, we got love, oh, yeah And you know I love to see you smile, oh And what you done for me What you done for me makes it all worthwhile, oh, baby 'Cause you, you are my desire And with the slightest touch With the slightest touch my soul's on fire 'Cause we got love, baby, you got me And if I got you we got more than money You are everything a man's been dreamin' of Oh, we got love, baby, we got love Storms are gonna rise and winds are gonna blow But it ain't no need to worry as long as we know As long as we know We got love, baby, you got me And if I got you whole, we got more than money You are everything a man's been dreamin' of Oh, we got love, baby, we got love 'Cause I've been new, I've been around But we won't let nothing, nothing shake the love we found We got love, baby, we got love Yeah, yeah, love, baby, we got love I, I know we gotta, gotta, got, got love Soon we, I need a little bit of love Baby, we got, we got love Oh, love, oh, love"
14,14,14,The Paris Sisters,I Love How You Love Me,happy,14,"I love how your eyes close whenever you kiss me And when I'm away from you I love how you miss me I love the way you always treat me tenderly But, darling, most of all I love how you love me (I love how you love me)  I love how your heart beats whenever I hold you I love how you think of me without being told to I love the way your touch is always heavenly But, darling, most of all I love how you love me (I love how you love me)  I love how your eyes close whenever you kiss me And when I'm away from you I love how you miss me I love the way your touch is always heavenly But, darling, most of all I love how you love me (I love how you love me)  I love how you hug me (I love how you hug me) I love how you squeeze me, tease me, please me Love, how you love me I love how you love me"
15,15,15,New Direction,I Came To Jesus,sad,15,"I was messed up, dirty as I could be I was on my way to hell; But I heard the preacher Preaching the Word of God Confess your sins and repent  I came to Jesus as I was Weary, worn, and sad I found in Him a resting place And He has made, made me glad  I asked the Lord ""how could He love me I have sinned against Your will"" But He said, ""repent and I will forgive you The question's who will you serve?""  You might be dirty, messed up inside You may even have lost your will to live; Don't be discouraged, don't throw in the towel Confess your sins and repent so you can be like me  Weary  Jesus"
17,17,17,Kenny Lattimore,And I Love Her,happy,17,"I give her all my love That's all I do And if you saw my love You'd love her, too I love her, yeah  She gives me everything And tenderly The kiss my lover brings She brings to me And I love her  A love like ours Could never die As long as I have you near me  Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her  Bright are the stars that shine (Ooh, the stars that shine) Dark is the sky, the sky (Sky) I know this love of mine Will never die (Will never die) And I love her  And I love her, I love her, I love her (Whoa) And I love her, I love her, I love her, yeah (I'll give her all my love, whoa) And I love her, I love her, I love her (She gives me everything, whoa) And I love her, I love her, I love her"
18,18,18,Jordin Sparks,Battlefield,angry,18,"Don't try to explain your mind I know what's happening here One minute it's love and suddenly it's like a battlefield One word turns into war Why is it the smallest things that tear us down? My world's nothing when you're gone I'm out here without a shield Can't go back now  Both hands tied behind my back for nothing, oh no These times when we climb so fast to fall again Why we gotta fall for it now?  I never meant to start a war You know I never wanna hurt you Don't even know what we're fighting for  Why does love always feel like a battlefield? (Oh-oh) A battlefield (Oh-oh) A battlefield (Oh-oh) Why does love always feel like a battlefield? (Oh-oh) A battlefield (Oh-oh) A battlefield (Oh-oh) Why does love always feel like  Can't swallow our pride Neither of us wanna raise that flag, mm If we can't surrender, then we both gonna lose what we had, oh no  Both hands tied behind my back for nothing (Nothing) Oh no These times when we climb so fast to fall again I don't wanna fall for it now  I never meant to start a war You know I never wanna hurt you Don't even know what we're fighting for  Why does love always feel like a battlefield? (Oh-oh) A battlefield (Oh-oh) A battlefield (Oh-oh) Why does love always feel like a battlefield? (Oh-oh) A battlefield (Oh-oh) A battlefield (Oh-oh)  I guess you better go and get your armor (Get your armor) Get your armor (Get your armor) I guess you better go and get your armor (Get your armor) Get your armor (Get your armor) I guess you better go and get your  We could pretend that we are friends tonight (Oh) And in the morning, we'd wake up and we'd be alright 'Cause baby, we don't have to fight And I don't want this love to feel like  A battlefield (Oh) A battlefield (Oh) A battlefield (Oh) Why does love always feel like a battlefield? (Oh) A battlefield (Oh) A battlefield (Oh) Guess you better go and get your armor  I never meant to start a war (Start a war) You know I never wanna hurt you Don't even know what we're fighting for (What are we fighting for?)  Why does love always feel like a battlefield? (Oh-oh-oh) A battlefield (Oh-oh-oh) A battlefield (Oh-oh-oh) Why does love always feel like a battlefield? (Oh-oh-oh) A battlefield (Oh-oh-oh) A battlefield (Oh-oh-oh)  I guess you better go and get your armor (Get your armor, yeah) Get your armor (Get your armor) I guess you better go and get your armor (Get your armor) Get your armor (Get your armor)  Why does love always feel like Whoa-oh-oh, oh-oh-oh (Whoa-oh-oh, oh-oh-oh-oh) Why does love always feel like (Whoa-oh-oh, oh-oh-oh) A battlefield. A battlefield (Whoa-oh-oh, oh-oh-oh-oh) I never meant to start a war (Whoa-oh-oh, oh-oh-oh) Don't even know what we're fighting for (Whoa-oh-oh, oh-oh-oh-oh) I never meant to start a war (Whoa-oh-oh, oh-oh-oh) Don't even know what we're fighting for (Whoa-oh-oh, oh-oh-oh-oh) Hey (Whoa-oh-oh, oh-oh-oh-oh)"
19,19,19,Spoon,You Got Yr. Cherry Bomb,angry,19,"Life can be so fair Let it go on and on I can push for good You got that cherry bomb  Blow out that cherry bomb for me We lost it long ago You and me  Now you know your way Back from the spirit bar Brush your teeth for bed Blow out that cherry bomb  Blow out that cherry bomb for me You got to know it's on your sleeve Know it's on your sleeve Know it's on your sleeve (Come on, come on)  It was the longest day that I'd ever known I watched you start that drive alone  Blow out that cherry bomb for me It's going to burn right up your sleeve Burn right up your sleeve  So there you go again Out in your dressing gown Get yourself to bed Blow out that cherry bomb  Oh, life could be so fair, let it go on and on I could pay to that hand on your cherry bomb Oh, life could be so fair, let it go on and on I could pay to that hand on your cherry bomb"
20,20,20,Tarralyn Ramsey,Peace Of God,relaxed,20,Oh peace of God Reign on me My spirit's calling To be free My heart is heavy I'm weighted down For I know that your Presence will always be around Repeat 3 times Ooh mmmmmm For the peace of god Surpasses all understanding For the peace of God Supasses all understanding Repeat 4 times
